ID,direction,position,trial_resp.,trial_rt
1,right,"[0.25, 0]",right,0.36933
1,right,"[0.25, 0]",right,0.390785
1,left,"[0.25, 0]",left,0.468086
1,right,"[0.25, 0]",left,0.393019
1,right,"[0.25, 0]",right,0.350612
1,left,"[-0.25, 0]",right,0.390385
1,left,"[0.25, 0]",right,0.456304
1,right,"[0.25, 0]",right,0.497368
1,right,"[-0.25, 0]",right,0.486358
1,right,"[-0.25, 0]",right,0.503694
1,right,"[0.25, 0]",right,0.449012
1,left,"[0.25, 0]",left,0.409773
1,right,"[-0.25, 0]",right,0.461533
1,right,"[-0.25, 0]",right,0.500727
1,right,"[-0.25, 0]",right,0.599147
1,left,"[0.25, 0]",left,0.432314
1,left,"[0.25, 0]",left,0.563815
1,left,"[0.25, 0]",left,0.51764
1,right,"[0.25, 0]",right,0.490122
1,left,"[-0.25, 0]",left,0.345046
1,left,"[-0.25, 0]",left,0.3927
1,right,"[-0.25, 0]",left,0.495259
1,right,"[0.25, 0]",right,0.443212
1,right,"[-0.25, 0]",right,0.467013
1,left,"[-0.25, 0]",left,0.426395
1,left,"[0.25, 0]",left,0.567571
1,right,"[0.25, 0]",right,0.373174
1,left,"[0.25, 0]",left,0.46279
1,left,"[0.25, 0]",left,0.517621
1,left,"[0.25, 0]",left,0.415335
1,right,"[-0.25, 0]",right,0.42338
1,right,"[0.25, 0]",right,0.445441
1,right,"[-0.25, 0]",right,0.539529
1,right,"[0.25, 0]",left,0.486574
1,right,"[0.25, 0]",right,0.525076
1,left,"[0.25, 0]",left,0.553861
1,left,"[0.25, 0]",left,0.487681
1,right,"[-0.25, 0]",right,0.327488
1,left,"[-0.25, 0]",left,0.440857
1,left,"[0.25, 0]",left,0.515287
1,right,"[0.25, 0]",right,0.426104
1,right,"[-0.25, 0]",right,0.465604
1,right,"[0.25, 0]",right,0.363813
1,left,"[-0.25, 0]",left,0.390448
1,right,"[0.25, 0]",right,0.476766
1,left,"[0.25, 0]",left,0.600925
1,left,"[0.25, 0]",left,0.445086
1,right,"[0.25, 0]",right,0.49631
1,left,"[0.25, 0]",left,0.514733
1,right,"[0.25, 0]",right,0.505868
1,left,"[0.25, 0]",right,0.569959
1,right,"[-0.25, 0]",right,0.469296
1,left,"[-0.25, 0]",left,0.318442
1,left,"[-0.25, 0]",left,0.447881
1,right,"[-0.25, 0]",right,0.466816
1,left,"[0.25, 0]",left,0.620007
1,left,"[-0.25, 0]",left,0.483365
1,right,"[0.25, 0]",right,0.47759
1,left,"[-0.25, 0]",right,0.367038
1,right,"[-0.25, 0]",right,0.45707
1,left,"[0.25, 0]",left,0.572312
1,right,"[-0.25, 0]",right,0.3601
1,right,"[-0.25, 0]",right,0.379442
1,left,"[0.25, 0]",left,0.485041
1,left,"[0.25, 0]",left,0.617538
1,right,"[0.25, 0]",right,0.439681
1,left,"[-0.25, 0]",right,0.413031
1,right,"[-0.25, 0]",right,0.513657
1,left,"[-0.25, 0]",left,0.320665
1,right,"[0.25, 0]",right,0.518834
1,right,"[-0.25, 0]",right,0.590393
1,left,"[-0.25, 0]",left,0.355763
1,right,"[-0.25, 0]",right,0.45962
1,right,"[-0.25, 0]",right,0.522001
1,left,"[-0.25, 0]",left,0.532316
1,right,"[0.25, 0]",right,0.336845
1,left,"[-0.25, 0]",left,0.35951
1,right,"[-0.25, 0]",right,0.602039
1,right,"[0.25, 0]",right,0.418097
1,left,"[-0.25, 0]",left,0.452028
1,left,"[0.25, 0]",left,0.537423
1,left,"[0.25, 0]",left,0.442968
1,left,"[-0.25, 0]",left,0.393756
1,left,"[-0.25, 0]",left,0.5641
1,left,"[-0.25, 0]",left,0.364575
1,right,"[-0.25, 0]",right,0.511274
1,left,"[0.25, 0]",left,0.376372
1,left,"[-0.25, 0]",left,0.345691
1,right,"[-0.25, 0]",right,0.415237
1,right,"[0.25, 0]",right,0.437212
1,left,"[-0.25, 0]",left,0.329855
1,left,"[-0.25, 0]",left,0.408968
1,right,"[-0.25, 0]",right,0.475715
1,right,"[0.25, 0]",right,0.464483
1,left,"[-0.25, 0]",left,0.372854
1,right,"[0.25, 0]",right,0.472353
1,left,"[-0.25, 0]",left,0.431609
1,right,"[-0.25, 0]",right,0.420246
1,left,"[-0.25, 0]",left,0.434427
1,left,"[0.25, 0]",left,0.476842
