ID,direction,position,trial_resp.,trial_rt
10,left,"[-0.25, 0]",right,0.382846
10,left,"[-0.25, 0]",left,0.412616
10,left,"[0.25, 0]",left,0.362856
10,left,"[0.25, 0]",left,0.474049
10,right,"[-0.25, 0]",right,0.575226
10,left,"[-0.25, 0]",left,0.324422
10,right,"[0.25, 0]",right,0.337096
10,left,"[0.25, 0]",left,0.698108
10,left,"[0.25, 0]",left,0.494945
10,right,"[-0.25, 0]",right,0.698618
10,left,"[-0.25, 0]",left,0.343968
10,left,"[-0.25, 0]",left,0.454475
10,right,"[-0.25, 0]",right,0.448285
10,right,"[-0.25, 0]",right,0.467422
10,right,"[0.25, 0]",right,0.253014
10,right,"[-0.25, 0]",right,0.570566
10,right,"[0.25, 0]",right,0.42045
10,left,"[0.25, 0]",left,0.508654
10,right,"[-0.25, 0]",left,0.616723
10,left,"[0.25, 0]",left,0.5734
10,right,"[0.25, 0]",right,0.362991
10,right,"[-0.25, 0]",right,0.48934
10,right,"[-0.25, 0]",right,0.477029
10,left,"[0.25, 0]",left,0.529071
10,right,"[0.25, 0]",right,0.467519
10,right,"[-0.25, 0]",right,0.416652
10,left,"[-0.25, 0]",left,0.477399
10,right,"[-0.25, 0]",right,0.492295
10,left,"[-0.25, 0]",left,0.422811
10,right,"[-0.25, 0]",right,0.38476
10,left,"[0.25, 0]",left,0.514372
10,left,"[0.25, 0]",right,0.436517
10,right,"[0.25, 0]",right,0.361751
10,right,"[-0.25, 0]",right,0.52459
10,left,"[0.25, 0]",left,0.515984
10,left,"[0.25, 0]",left,0.609996
10,left,"[0.25, 0]",left,0.500343
10,left,"[-0.25, 0]",left,0.411406
10,left,"[-0.25, 0]",left,0.453474
10,left,"[0.25, 0]",left,0.462827
10,left,"[0.25, 0]",left,0.501736
10,left,"[-0.25, 0]",left,0.395192
10,right,"[0.25, 0]",right,0.49067
10,right,"[-0.25, 0]",right,0.450091
10,left,"[0.25, 0]",left,0.522747
10,right,"[0.25, 0]",left,0.368136
10,left,"[-0.25, 0]",left,0.344658
10,right,"[-0.25, 0]",left,0.438165
10,right,"[0.25, 0]",right,0.458333
10,left,"[-0.25, 0]",left,0.440755
10,right,"[0.25, 0]",right,0.298574
10,right,"[0.25, 0]",left,0.507818
10,right,"[0.25, 0]",right,0.499433
10,right,"[0.25, 0]",right,0.363478
10,left,"[-0.25, 0]",left,0.445839
10,left,"[-0.25, 0]",left,0.47546
10,right,"[0.25, 0]",right,0.387671
10,right,"[0.25, 0]",right,0.397588
10,right,"[-0.25, 0]",right,0.445749
10,right,"[-0.25, 0]",right,0.599857
10,left,"[-0.25, 0]",left,0.411507
10,left,"[-0.25, 0]",right,0.409631
10,right,"[0.25, 0]",right,0.306457
10,right,"[0.25, 0]",right,0.32662
10,left,"[-0.25, 0]",left,0.436268
10,left,"[0.25, 0]",left,0.527607
10,right,"[0.25, 0]",right,0.408609
10,right,"[-0.25, 0]",right,0.530453
10,left,"[0.25, 0]",left,0.389007
10,right,"[-0.25, 0]",right,0.378617
10,left,"[-0.25, 0]",left,0.36557
10,right,"[0.25, 0]",right,0.516447
10,left,"[0.25, 0]",left,0.485546
10,right,"[0.25, 0]",right,0.51409
10,left,"[0.25, 0]",left,0.601377
10,left,"[-0.25, 0]",left,0.46327
10,right,"[-0.25, 0]",left,0.437352
10,right,"[0.25, 0]",right,0.424792
10,right,"[0.25, 0]",right,0.329093
10,right,"[-0.25, 0]",left,0.423113
10,left,"[0.25, 0]",left,0.393262
10,right,"[0.25, 0]",right,0.376272
10,right,"[-0.25, 0]",right,0.643093
10,left,"[0.25, 0]",left,0.428554
10,right,"[-0.25, 0]",right,0.547446
10,right,"[-0.25, 0]",right,0.506895
10,left,"[-0.25, 0]",left,0.361651
10,left,"[-0.25, 0]",left,0.525228
10,left,"[0.25, 0]",left,0.56899
10,left,"[0.25, 0]",left,0.489916
10,left,"[-0.25, 0]",left,0.328107
10,right,"[-0.25, 0]",right,0.64846
10,left,"[-0.25, 0]",left,0.338852
10,left,"[0.25, 0]",right,0.563486
10,right,"[0.25, 0]",right,0.35938
10,right,"[0.25, 0]",right,0.38075
10,left,"[0.25, 0]",right,0.52194
10,right,"[-0.25, 0]",right,0.365495
10,left,"[-0.25, 0]",left,0.406452
10,left,"[-0.25, 0]",left,0.306682
