ID,direction,position,trial_resp.,trial_rt
2,right,"[0.25, 0]",right,0.374563
2,left,"[0.25, 0]",left,0.568657
2,right,"[-0.25, 0]",right,0.477384
2,left,"[-0.25, 0]",left,0.354075
2,left,"[-0.25, 0]",left,0.380245
2,left,"[-0.25, 0]",right,0.416534
2,left,"[-0.25, 0]",left,0.314975
2,left,"[0.25, 0]",left,0.441894
2,left,"[0.25, 0]",right,0.584656
2,left,"[-0.25, 0]",left,0.333044
2,right,"[0.25, 0]",right,0.432209
2,right,"[0.25, 0]",left,0.330354
2,right,"[0.25, 0]",left,0.331077
2,left,"[-0.25, 0]",left,0.354956
2,left,"[-0.25, 0]",left,0.29575
2,left,"[-0.25, 0]",left,0.333381
2,left,"[-0.25, 0]",left,0.311255
2,left,"[0.25, 0]",left,0.502761
2,right,"[-0.25, 0]",right,0.546358
2,right,"[0.25, 0]",right,0.366965
2,left,"[0.25, 0]",left,0.455695
2,left,"[-0.25, 0]",left,0.361743
2,right,"[0.25, 0]",left,0.414622
2,left,"[0.25, 0]",left,0.516593
2,right,"[-0.25, 0]",right,0.364825
2,left,"[-0.25, 0]",left,0.379964
2,left,"[0.25, 0]",left,0.649921
2,right,"[0.25, 0]",right,0.498357
2,right,"[-0.25, 0]",right,0.415519
2,right,"[-0.25, 0]",right,0.445503
2,right,"[-0.25, 0]",right,0.576388
2,left,"[-0.25, 0]",left,0.333373
2,left,"[-0.25, 0]",right,0.272725
2,left,"[0.25, 0]",left,0.511406
2,left,"[0.25, 0]",left,0.522214
2,right,"[0.25, 0]",right,0.402481
2,left,"[-0.25, 0]",left,0.385196
2,right,"[0.25, 0]",right,0.451467
2,right,"[0.25, 0]",right,0.396159
2,left,"[-0.25, 0]",left,0.341053
2,left,"[-0.25, 0]",left,0.266466
2,right,"[-0.25, 0]",right,0.372255
2,right,"[0.25, 0]",right,0.344225
2,right,"[-0.25, 0]",right,0.412092
2,right,"[0.25, 0]",right,0.326392
2,left,"[0.25, 0]",left,0.432058
2,left,"[-0.25, 0]",left,0.37899
2,left,"[0.25, 0]",left,0.516489
2,right,"[-0.25, 0]",right,0.380109
2,right,"[-0.25, 0]",right,0.452237
2,left,"[-0.25, 0]",left,0.469183
2,right,"[0.25, 0]",right,0.27768
2,left,"[-0.25, 0]",left,0.405469
2,right,"[-0.25, 0]",right,0.390417
2,right,"[-0.25, 0]",left,0.350168
2,left,"[0.25, 0]",right,0.499449
2,right,"[-0.25, 0]",right,0.48113
2,left,"[0.25, 0]",left,0.512263
2,right,"[0.25, 0]",right,0.302335
2,left,"[-0.25, 0]",right,0.251392
2,right,"[-0.25, 0]",right,0.448106
2,right,"[0.25, 0]",right,0.394406
2,right,"[0.25, 0]",right,0.38334
2,right,"[0.25, 0]",right,0.328402
2,right,"[0.25, 0]",right,0.330724
2,right,"[0.25, 0]",right,0.387811
2,right,"[-0.25, 0]",right,0.431137
2,right,"[-0.25, 0]",right,0.476431
2,right,"[-0.25, 0]",right,0.489472
2,right,"[0.25, 0]",right,0.418812
2,right,"[-0.25, 0]",right,0.377023
2,left,"[0.25, 0]",left,0.419694
2,right,"[-0.25, 0]",right,0.389873
2,right,"[-0.25, 0]",right,0.506991
2,right,"[0.25, 0]",right,0.357218
2,right,"[-0.25, 0]",right,0.398729
2,left,"[0.25, 0]",left,0.613826
2,left,"[0.25, 0]",left,0.500696
2,right,"[-0.25, 0]",right,0.379627
2,left,"[0.25, 0]",left,0.609136
2,left,"[-0.25, 0]",left,0.282341
2,right,"[-0.25, 0]",right,0.333803
2,left,"[0.25, 0]",left,0.568611
2,left,"[0.25, 0]",right,0.518527
2,left,"[-0.25, 0]",left,0.353945
2,left,"[0.25, 0]",left,0.585426
2,right,"[-0.25, 0]",right,0.347
2,left,"[0.25, 0]",left,0.398336
2,right,"[0.25, 0]",right,0.338641
2,right,"[0.25, 0]",left,0.41411
2,left,"[0.25, 0]",left,0.43879
2,left,"[0.25, 0]",left,0.571451
2,left,"[-0.25, 0]",left,0.35521
2,right,"[0.25, 0]",right,0.439967
2,right,"[0.25, 0]",right,0.33753
2,left,"[0.25, 0]",left,0.578617
2,left,"[-0.25, 0]",left,0.263583
2,right,"[-0.25, 0]",left,0.470903
2,left,"[-0.25, 0]",left,0.326639
2,left,"[0.25, 0]",right,0.618943
