ID,direction,position,trial_resp.,trial_rt
9,right,"[0.25, 0]",right,0.386107
9,left,"[0.25, 0]",left,0.400728
9,left,"[0.25, 0]",left,0.417225
9,right,"[-0.25, 0]",right,0.397684
9,left,"[-0.25, 0]",left,0.400953
9,left,"[0.25, 0]",left,0.493164
9,left,"[-0.25, 0]",left,0.274262
9,left,"[-0.25, 0]",left,0.421086
9,right,"[-0.25, 0]",right,0.543444
9,right,"[-0.25, 0]",right,0.387538
9,left,"[0.25, 0]",left,0.601264
9,left,"[0.25, 0]",left,0.370812
9,left,"[0.25, 0]",left,0.470379
9,left,"[0.25, 0]",left,0.353564
9,right,"[0.25, 0]",right,0.493989
9,right,"[0.25, 0]",right,0.326563
9,left,"[-0.25, 0]",left,0.308255
9,left,"[0.25, 0]",right,0.485636
9,left,"[-0.25, 0]",left,0.308283
9,left,"[0.25, 0]",right,0.541993
9,right,"[0.25, 0]",right,0.374097
9,left,"[0.25, 0]",left,0.438913
9,left,"[0.25, 0]",left,0.451168
9,right,"[0.25, 0]",right,0.382431
9,left,"[-0.25, 0]",left,0.354277
9,left,"[0.25, 0]",left,0.305359
9,right,"[-0.25, 0]",right,0.448544
9,right,"[0.25, 0]",right,0.366013
9,right,"[-0.25, 0]",right,0.553161
9,right,"[-0.25, 0]",right,0.337397
9,right,"[0.25, 0]",right,0.409733
9,left,"[0.25, 0]",left,0.411736
9,left,"[-0.25, 0]",left,0.395833
9,right,"[0.25, 0]",right,0.305768
9,right,"[-0.25, 0]",right,0.493756
9,left,"[0.25, 0]",left,0.475248
9,left,"[0.25, 0]",left,0.447921
9,left,"[-0.25, 0]",left,0.449992
9,left,"[0.25, 0]",left,0.618643
9,left,"[-0.25, 0]",right,0.344011
9,left,"[-0.25, 0]",left,0.330341
9,right,"[-0.25, 0]",right,0.357298
9,left,"[0.25, 0]",left,0.39979
9,left,"[0.25, 0]",left,0.330185
9,right,"[0.25, 0]",right,0.449483
9,right,"[-0.25, 0]",right,0.513538
9,left,"[-0.25, 0]",left,0.434574
9,right,"[-0.25, 0]",right,0.385392
9,right,"[-0.25, 0]",right,0.415996
9,left,"[0.25, 0]",left,0.4584
9,right,"[0.25, 0]",right,0.374771
9,left,"[-0.25, 0]",left,0.361234
9,left,"[-0.25, 0]",right,0.427996
9,left,"[0.25, 0]",left,0.410418
9,right,"[0.25, 0]",right,0.351468
9,left,"[-0.25, 0]",left,0.39887
9,left,"[-0.25, 0]",left,0.37844
9,right,"[0.25, 0]",left,0.294883
9,right,"[-0.25, 0]",right,0.497858
9,right,"[0.25, 0]",right,0.439043
9,left,"[0.25, 0]",right,0.534586
9,right,"[-0.25, 0]",right,0.482312
9,left,"[-0.25, 0]",left,0.355717
9,right,"[0.25, 0]",right,0.364022
9,right,"[-0.25, 0]",right,0.434912
9,right,"[0.25, 0]",right,0.343013
9,right,"[-0.25, 0]",right,0.475153
9,right,"[0.25, 0]",right,0.519158
9,right,"[0.25, 0]",right,0.468383
9,right,"[-0.25, 0]",right,0.319701
9,right,"[0.25, 0]",right,0.485592
9,left,"[-0.25, 0]",left,0.290543
9,right,"[-0.25, 0]",right,0.345622
9,left,"[0.25, 0]",left,0.483353
9,right,"[0.25, 0]",right,0.324619
9,left,"[-0.25, 0]",left,0.317612
9,left,"[-0.25, 0]",left,0.351785
9,left,"[0.25, 0]",left,0.447185
9,left,"[-0.25, 0]",left,0.381036
9,right,"[0.25, 0]",right,0.366806
9,left,"[-0.25, 0]",left,0.419233
9,right,"[0.25, 0]",right,0.328945
9,left,"[-0.25, 0]",right,0.412037
9,left,"[-0.25, 0]",left,0.359646
9,right,"[-0.25, 0]",right,0.426167
9,right,"[0.25, 0]",right,0.349123
9,right,"[-0.25, 0]",left,0.389349
9,right,"[0.25, 0]",right,0.343008
9,right,"[-0.25, 0]",right,0.395238
9,left,"[-0.25, 0]",left,0.531877
9,left,"[0.25, 0]",left,0.549525
9,left,"[0.25, 0]",left,0.470926
9,right,"[-0.25, 0]",right,0.397556
9,right,"[-0.25, 0]",right,0.374016
9,right,"[0.25, 0]",right,0.41584
9,right,"[-0.25, 0]",right,0.359642
9,left,"[-0.25, 0]",left,0.296229
9,right,"[-0.25, 0]",right,0.522274
9,right,"[-0.25, 0]",left,0.403785
9,right,"[0.25, 0]",right,0.339764
