ID,direction,position,trial_resp.,trial_rt
5,right,"[-0.25, 0]",right,0.326561
5,left,"[0.25, 0]",left,0.310949
5,left,"[0.25, 0]",left,0.427774
5,left,"[0.25, 0]",left,0.415859
5,right,"[-0.25, 0]",right,0.589297
5,left,"[-0.25, 0]",left,0.33538
5,left,"[-0.25, 0]",left,0.36498
5,left,"[-0.25, 0]",left,0.406182
5,left,"[-0.25, 0]",left,0.455084
5,left,"[0.25, 0]",left,0.33909
5,right,"[0.25, 0]",right,0.588713
5,left,"[0.25, 0]",left,0.43771
5,right,"[-0.25, 0]",right,0.462109
5,left,"[0.25, 0]",right,0.391775
5,right,"[-0.25, 0]",right,0.515345
5,left,"[0.25, 0]",left,0.557904
5,left,"[0.25, 0]",left,0.532523
5,right,"[-0.25, 0]",right,0.571734
5,left,"[-0.25, 0]",right,0.416264
5,right,"[-0.25, 0]",right,0.404424
5,right,"[0.25, 0]",right,0.432062
5,right,"[-0.25, 0]",left,0.448411
5,left,"[-0.25, 0]",left,0.42046
5,left,"[0.25, 0]",left,0.411826
5,left,"[-0.25, 0]",left,0.418209
5,left,"[-0.25, 0]",left,0.469736
5,right,"[-0.25, 0]",right,0.405886
5,right,"[-0.25, 0]",right,0.426712
5,right,"[-0.25, 0]",right,0.592291
5,right,"[0.25, 0]",right,0.522337
5,left,"[-0.25, 0]",left,0.327208
5,right,"[0.25, 0]",right,0.409122
5,right,"[-0.25, 0]",right,0.486871
5,left,"[0.25, 0]",left,0.460522
5,left,"[0.25, 0]",left,0.385274
5,right,"[-0.25, 0]",right,0.51569
5,right,"[-0.25, 0]",right,0.654788
5,right,"[-0.25, 0]",right,0.583764
5,left,"[-0.25, 0]",left,0.389852
5,left,"[0.25, 0]",left,0.426343
5,left,"[0.25, 0]",left,0.545117
5,left,"[0.25, 0]",left,0.470238
5,right,"[-0.25, 0]",right,0.588213
5,left,"[-0.25, 0]",right,0.386564
5,right,"[0.25, 0]",left,0.409311
5,right,"[0.25, 0]",right,0.387162
5,right,"[0.25, 0]",right,0.431846
5,left,"[-0.25, 0]",left,0.33334
5,left,"[0.25, 0]",left,0.560039
5,left,"[-0.25, 0]",left,0.349715
5,right,"[0.25, 0]",right,0.3448
5,left,"[0.25, 0]",left,0.390691
5,right,"[0.25, 0]",right,0.403343
5,right,"[-0.25, 0]",right,0.564916
5,right,"[0.25, 0]",right,0.453248
5,right,"[0.25, 0]",right,0.466554
5,left,"[0.25, 0]",left,0.515029
5,right,"[0.25, 0]",right,0.426345
5,right,"[-0.25, 0]",right,0.470107
5,left,"[-0.25, 0]",left,0.375359
5,right,"[0.25, 0]",right,0.359506
5,left,"[0.25, 0]",left,0.374708
5,right,"[-0.25, 0]",right,0.58102
5,left,"[-0.25, 0]",left,0.378422
5,left,"[0.25, 0]",left,0.57991
5,right,"[0.25, 0]",right,0.47193
5,right,"[-0.25, 0]",right,0.396001
5,left,"[0.25, 0]",left,0.439602
5,left,"[-0.25, 0]",left,0.340189
5,left,"[-0.25, 0]",left,0.372447
5,right,"[-0.25, 0]",right,0.469688
5,left,"[-0.25, 0]",left,0.434879
5,right,"[0.25, 0]",right,0.388056
5,left,"[-0.25, 0]",left,0.42719
5,right,"[0.25, 0]",right,0.426218
5,left,"[0.25, 0]",left,0.601914
5,left,"[-0.25, 0]",left,0.440027
5,left,"[-0.25, 0]",left,0.398868
5,right,"[0.25, 0]",right,0.409355
5,left,"[0.25, 0]",left,0.49804
5,right,"[-0.25, 0]",right,0.697839
5,right,"[0.25, 0]",right,0.588668
5,right,"[0.25, 0]",right,0.433434
5,left,"[0.25, 0]",left,0.5157
5,right,"[0.25, 0]",right,0.34667
5,right,"[0.25, 0]",left,0.320522
5,right,"[-0.25, 0]",right,0.462867
5,left,"[-0.25, 0]",left,0.397257
5,right,"[0.25, 0]",right,0.498246
5,left,"[-0.25, 0]",left,0.494713
5,right,"[0.25, 0]",right,0.31575
5,left,"[0.25, 0]",left,0.445424
5,left,"[0.25, 0]",left,0.426563
5,right,"[-0.25, 0]",right,0.498697
5,left,"[-0.25, 0]",left,0.36171
5,right,"[-0.25, 0]",left,0.585034
5,left,"[-0.25, 0]",left,0.45283
5,right,"[-0.25, 0]",right,0.517437
5,right,"[0.25, 0]",right,0.514787
5,right,"[0.25, 0]",right,0.341653
