ID,direction,position,trial_resp.,trial_rt
4,left,"[-0.25, 0]",left,0.581936
4,left,"[-0.25, 0]",left,0.44561
4,right,"[0.25, 0]",right,0.398347
4,left,"[-0.25, 0]",left,0.393404
4,right,"[-0.25, 0]",right,0.465824
4,left,"[-0.25, 0]",left,0.489999
4,right,"[-0.25, 0]",right,0.476449
4,right,"[0.25, 0]",left,0.425423
4,left,"[0.25, 0]",left,0.469598
4,left,"[0.25, 0]",left,0.386153
4,left,"[0.25, 0]",left,0.554211
4,left,"[-0.25, 0]",left,0.476325
4,right,"[0.25, 0]",right,0.427453
4,left,"[0.25, 0]",left,0.509527
4,left,"[-0.25, 0]",left,0.528428
4,left,"[0.25, 0]",left,0.423087
4,left,"[-0.25, 0]",left,0.355062
4,left,"[0.25, 0]",left,0.453955
4,left,"[0.25, 0]",left,0.438616
4,right,"[-0.25, 0]",right,0.493438
4,right,"[0.25, 0]",right,0.410418
4,left,"[-0.25, 0]",left,0.33683
4,right,"[0.25, 0]",right,0.351433
4,right,"[0.25, 0]",right,0.447164
4,right,"[0.25, 0]",right,0.589912
4,right,"[-0.25, 0]",right,0.566556
4,left,"[-0.25, 0]",left,0.451462
4,right,"[-0.25, 0]",right,0.427437
4,right,"[-0.25, 0]",right,0.382719
4,left,"[-0.25, 0]",left,0.539345
4,right,"[-0.25, 0]",right,0.467229
4,right,"[-0.25, 0]",right,0.512067
4,left,"[0.25, 0]",right,0.512305
4,right,"[0.25, 0]",right,0.42936
4,right,"[-0.25, 0]",right,0.34832
4,right,"[0.25, 0]",right,0.518238
4,left,"[-0.25, 0]",left,0.553069
4,right,"[0.25, 0]",right,0.500825
4,left,"[-0.25, 0]",left,0.449182
4,left,"[0.25, 0]",left,0.325949
4,left,"[-0.25, 0]",left,0.401467
4,right,"[0.25, 0]",right,0.353451
4,left,"[-0.25, 0]",left,0.409925
4,right,"[-0.25, 0]",right,0.526294
4,left,"[-0.25, 0]",left,0.36433
4,right,"[0.25, 0]",right,0.483676
4,left,"[-0.25, 0]",left,0.446902
4,left,"[-0.25, 0]",left,0.314768
4,right,"[0.25, 0]",right,0.523242
4,left,"[0.25, 0]",left,0.485485
4,right,"[0.25, 0]",right,0.291384
4,left,"[0.25, 0]",left,0.480872
4,left,"[-0.25, 0]",left,0.458828
4,right,"[-0.25, 0]",right,0.347161
4,left,"[0.25, 0]",left,0.507253
4,left,"[0.25, 0]",left,0.565571
4,left,"[-0.25, 0]",left,0.635517
4,right,"[-0.25, 0]",left,0.521936
4,right,"[0.25, 0]",right,0.347695
4,right,"[0.25, 0]",right,0.360397
4,left,"[0.25, 0]",left,0.441105
4,right,"[-0.25, 0]",left,0.559185
4,right,"[-0.25, 0]",right,0.438288
4,left,"[0.25, 0]",left,0.626924
4,left,"[0.25, 0]",left,0.511857
4,left,"[0.25, 0]",left,0.391208
4,left,"[0.25, 0]",left,0.459019
4,left,"[0.25, 0]",left,0.668063
4,right,"[0.25, 0]",right,0.396968
4,right,"[-0.25, 0]",right,0.548838
4,left,"[0.25, 0]",right,0.462555
4,left,"[-0.25, 0]",left,0.355948
4,left,"[0.25, 0]",left,0.53226
4,right,"[0.25, 0]",right,0.325802
4,right,"[-0.25, 0]",right,0.589631
4,right,"[-0.25, 0]",right,0.529847
4,right,"[0.25, 0]",right,0.40846
4,right,"[-0.25, 0]",right,0.467997
4,right,"[0.25, 0]",right,0.402743
4,left,"[-0.25, 0]",left,0.343772
4,right,"[0.25, 0]",right,0.377315
4,left,"[-0.25, 0]",right,0.384047
4,left,"[-0.25, 0]",left,0.362482
4,right,"[-0.25, 0]",right,0.614838
4,left,"[0.25, 0]",left,0.51278
4,left,"[0.25, 0]",right,0.414475
4,right,"[0.25, 0]",right,0.437761
4,left,"[0.25, 0]",left,0.451782
4,right,"[-0.25, 0]",right,0.462463
4,right,"[0.25, 0]",left,0.406754
4,right,"[0.25, 0]",right,0.381106
4,right,"[-0.25, 0]",right,0.462423
4,left,"[-0.25, 0]",left,0.341848
4,right,"[-0.25, 0]",right,0.49164
4,right,"[-0.25, 0]",right,0.486261
4,right,"[0.25, 0]",right,0.63305
4,left,"[-0.25, 0]",left,0.463689
4,right,"[-0.25, 0]",right,0.567975
4,right,"[-0.25, 0]",right,0.443705
4,left,"[0.25, 0]",left,0.746541
