ID,direction,position,trial_resp.,trial_rt
7,left,"[0.25, 0]",left,0.496521
7,left,"[0.25, 0]",left,0.379286
7,right,"[0.25, 0]",right,0.463059
7,right,"[0.25, 0]",left,0.430343
7,left,"[0.25, 0]",left,0.543771
7,left,"[-0.25, 0]",left,0.439178
7,right,"[0.25, 0]",right,0.361675
7,right,"[-0.25, 0]",right,0.544874
7,right,"[0.25, 0]",right,0.311826
7,left,"[-0.25, 0]",left,0.541851
7,left,"[-0.25, 0]",left,0.279602
7,left,"[0.25, 0]",left,0.474221
7,right,"[-0.25, 0]",right,0.533479
7,left,"[-0.25, 0]",left,0.34974
7,right,"[0.25, 0]",right,0.366601
7,left,"[0.25, 0]",left,0.389664
7,left,"[-0.25, 0]",right,0.343002
7,right,"[-0.25, 0]",right,0.517959
7,left,"[-0.25, 0]",left,0.40906
7,left,"[-0.25, 0]",left,0.406024
7,right,"[-0.25, 0]",right,0.544708
7,left,"[-0.25, 0]",left,0.344412
7,left,"[-0.25, 0]",left,0.328106
7,right,"[0.25, 0]",left,0.511307
7,left,"[-0.25, 0]",left,0.373802
7,right,"[0.25, 0]",right,0.418531
7,right,"[-0.25, 0]",right,0.470633
7,left,"[0.25, 0]",left,0.621218
7,right,"[-0.25, 0]",right,0.527354
7,right,"[0.25, 0]",right,0.345235
7,right,"[-0.25, 0]",right,0.402186
7,right,"[-0.25, 0]",right,0.563681
7,left,"[0.25, 0]",left,0.550291
7,right,"[-0.25, 0]",right,0.47703
7,left,"[0.25, 0]",left,0.457793
7,left,"[0.25, 0]",left,0.436934
7,left,"[0.25, 0]",left,0.481044
7,left,"[-0.25, 0]",left,0.309792
7,left,"[0.25, 0]",left,0.486158
7,right,"[-0.25, 0]",right,0.477535
7,right,"[-0.25, 0]",right,0.548011
7,right,"[0.25, 0]",right,0.452929
7,right,"[-0.25, 0]",right,0.532099
7,right,"[-0.25, 0]",left,0.396296
7,left,"[0.25, 0]",left,0.403626
7,left,"[-0.25, 0]",left,0.402243
7,right,"[0.25, 0]",right,0.535998
7,right,"[0.25, 0]",right,0.392053
7,left,"[0.25, 0]",left,0.372131
7,right,"[0.25, 0]",right,0.457684
7,left,"[0.25, 0]",left,0.621452
7,left,"[0.25, 0]",left,0.436811
7,left,"[-0.25, 0]",left,0.320853
7,right,"[0.25, 0]",right,0.417334
7,left,"[-0.25, 0]",left,0.437411
7,right,"[0.25, 0]",right,0.425856
7,right,"[0.25, 0]",right,0.489881
7,right,"[0.25, 0]",left,0.451642
7,left,"[-0.25, 0]",left,0.362649
7,left,"[0.25, 0]",left,0.560293
7,right,"[0.25, 0]",right,0.461163
7,left,"[-0.25, 0]",left,0.395417
7,left,"[0.25, 0]",left,0.467143
7,left,"[-0.25, 0]",right,0.306937
7,left,"[0.25, 0]",right,0.421647
7,right,"[0.25, 0]",left,0.45737
7,left,"[0.25, 0]",left,0.529818
7,right,"[-0.25, 0]",right,0.455959
7,right,"[-0.25, 0]",right,0.507603
7,right,"[-0.25, 0]",right,0.449082
7,right,"[0.25, 0]",right,0.393377
7,left,"[-0.25, 0]",left,0.377481
7,right,"[-0.25, 0]",right,0.641798
7,right,"[-0.25, 0]",right,0.429044
7,right,"[-0.25, 0]",right,0.721729
7,right,"[0.25, 0]",right,0.340371
7,right,"[-0.25, 0]",right,0.427307
7,left,"[-0.25, 0]",right,0.391818
7,left,"[-0.25, 0]",left,0.439338
7,right,"[-0.25, 0]",left,0.491322
7,right,"[0.25, 0]",right,0.361239
7,left,"[-0.25, 0]",left,0.453874
7,left,"[0.25, 0]",left,0.42235
7,left,"[-0.25, 0]",left,0.340016
7,left,"[0.25, 0]",left,0.431209
7,right,"[0.25, 0]",right,0.318409
7,left,"[0.25, 0]",left,0.494114
7,left,"[-0.25, 0]",left,0.420712
7,left,"[0.25, 0]",left,0.46181
7,right,"[-0.25, 0]",right,0.454996
7,right,"[0.25, 0]",right,0.514794
7,left,"[-0.25, 0]",left,0.338791
7,right,"[-0.25, 0]",right,0.437672
7,right,"[0.25, 0]",right,0.492111
7,left,"[-0.25, 0]",left,0.30736
7,right,"[0.25, 0]",right,0.432701
7,right,"[-0.25, 0]",right,0.390615
7,left,"[0.25, 0]",left,0.431644
7,right,"[-0.25, 0]",left,0.503478
7,left,"[0.25, 0]",left,0.411656
