ID,direction,position,trial_resp.,trial_rt
6,left,"[-0.25, 0]",left,0.427979
6,left,"[0.25, 0]",left,0.49032
6,left,"[-0.25, 0]",left,0.534535
6,left,"[0.25, 0]",left,0.491542
6,right,"[-0.25, 0]",right,0.535039
6,right,"[0.25, 0]",right,0.420589
6,left,"[-0.25, 0]",left,0.496321
6,left,"[0.25, 0]",left,0.489673
6,left,"[0.25, 0]",right,0.546764
6,right,"[0.25, 0]",right,0.383937
6,right,"[-0.25, 0]",right,0.473354
6,right,"[-0.25, 0]",right,0.558933
6,left,"[0.25, 0]",left,0.75345
6,left,"[0.25, 0]",left,0.500099
6,left,"[0.25, 0]",left,0.460978
6,left,"[-0.25, 0]",left,0.612246
6,right,"[-0.25, 0]",right,0.5938
6,right,"[0.25, 0]",left,0.355305
6,left,"[0.25, 0]",left,0.523365
6,right,"[0.25, 0]",right,0.468603
6,right,"[-0.25, 0]",left,0.485721
6,left,"[0.25, 0]",left,0.427116
6,right,"[-0.25, 0]",right,0.521032
6,left,"[-0.25, 0]",left,0.394861
6,right,"[0.25, 0]",left,0.409651
6,right,"[-0.25, 0]",right,0.373713
6,left,"[0.25, 0]",left,0.555278
6,left,"[-0.25, 0]",left,0.483393
6,left,"[-0.25, 0]",left,0.420701
6,right,"[0.25, 0]",right,0.440983
6,right,"[-0.25, 0]",left,0.441028
6,left,"[0.25, 0]",left,0.357546
6,right,"[-0.25, 0]",right,0.697762
6,right,"[-0.25, 0]",right,0.55647
6,right,"[0.25, 0]",right,0.436684
6,left,"[0.25, 0]",left,0.509626
6,right,"[0.25, 0]",right,0.47164
6,left,"[-0.25, 0]",left,0.651561
6,right,"[0.25, 0]",right,0.462004
6,right,"[-0.25, 0]",right,0.530871
6,left,"[0.25, 0]",left,0.662265
6,left,"[-0.25, 0]",left,0.42241
6,right,"[-0.25, 0]",right,0.490832
6,right,"[-0.25, 0]",right,0.482678
6,left,"[-0.25, 0]",right,0.463815
6,left,"[0.25, 0]",left,0.4423
6,left,"[0.25, 0]",left,0.476829
6,left,"[-0.25, 0]",left,0.398988
6,left,"[0.25, 0]",left,0.46189
6,left,"[-0.25, 0]",left,0.381421
6,right,"[0.25, 0]",right,0.487119
6,left,"[-0.25, 0]",left,0.365339
6,left,"[-0.25, 0]",left,0.436349
6,left,"[-0.25, 0]",left,0.443384
6,right,"[0.25, 0]",right,0.438213
6,right,"[-0.25, 0]",right,0.490351
6,left,"[0.25, 0]",left,0.564019
6,left,"[-0.25, 0]",left,0.492081
6,right,"[-0.25, 0]",right,0.433718
6,left,"[0.25, 0]",left,0.574174
6,right,"[-0.25, 0]",right,0.495343
6,left,"[-0.25, 0]",left,0.417488
6,right,"[0.25, 0]",left,0.394703
6,right,"[-0.25, 0]",right,0.38561
6,right,"[0.25, 0]",right,0.452822
6,right,"[0.25, 0]",left,0.347966
6,right,"[0.25, 0]",right,0.392321
6,left,"[0.25, 0]",left,0.477879
6,left,"[-0.25, 0]",left,0.486388
6,right,"[-0.25, 0]",left,0.385958
6,right,"[-0.25, 0]",right,0.466139
6,right,"[0.25, 0]",right,0.44924
6,right,"[0.25, 0]",right,0.544454
6,left,"[-0.25, 0]",left,0.4415
6,left,"[0.25, 0]",right,0.405503
6,right,"[-0.25, 0]",right,0.421532
6,left,"[0.25, 0]",left,0.650084
6,left,"[-0.25, 0]",left,0.389781
6,right,"[0.25, 0]",right,0.491851
6,left,"[-0.25, 0]",left,0.458762
6,right,"[-0.25, 0]",right,0.48066
6,left,"[0.25, 0]",left,0.462872
6,right,"[0.25, 0]",right,0.506129
6,left,"[-0.25, 0]",left,0.506747
6,left,"[-0.25, 0]",left,0.448892
6,right,"[0.25, 0]",right,0.435295
6,right,"[-0.25, 0]",right,0.468575
6,left,"[0.25, 0]",left,0.40619
6,left,"[0.25, 0]",left,0.433066
6,right,"[-0.25, 0]",right,0.476628
6,right,"[0.25, 0]",right,0.547447
6,right,"[0.25, 0]",right,0.494788
6,left,"[-0.25, 0]",left,0.497301
6,left,"[0.25, 0]",left,0.4955
6,right,"[-0.25, 0]",right,0.571723
6,right,"[0.25, 0]",right,0.411564
6,right,"[0.25, 0]",right,0.467592
6,right,"[0.25, 0]",right,0.463242
6,right,"[-0.25, 0]",right,0.524509
6,left,"[-0.25, 0]",left,0.448464
