ID,direction,position,trial_resp.,trial_rt
8,left,"[-0.25, 0]",right,0.380529
8,left,"[-0.25, 0]",left,0.427387
8,left,"[-0.25, 0]",left,0.46604
8,left,"[0.25, 0]",right,0.34035
8,right,"[-0.25, 0]",right,0.390015
8,right,"[0.25, 0]",right,0.366701
8,right,"[0.25, 0]",right,0.445433
8,left,"[0.25, 0]",left,0.521544
8,right,"[-0.25, 0]",right,0.397245
8,left,"[0.25, 0]",left,0.443166
8,right,"[0.25, 0]",right,0.438156
8,left,"[-0.25, 0]",left,0.409194
8,left,"[-0.25, 0]",left,0.571568
8,left,"[0.25, 0]",left,0.596222
8,left,"[-0.25, 0]",left,0.46639
8,left,"[0.25, 0]",left,0.551901
8,right,"[0.25, 0]",left,0.411612
8,left,"[0.25, 0]",left,0.462168
8,right,"[-0.25, 0]",right,0.527472
8,left,"[0.25, 0]",left,0.555271
8,right,"[-0.25, 0]",left,0.433477
8,right,"[-0.25, 0]",right,0.578966
8,right,"[0.25, 0]",right,0.540951
8,left,"[-0.25, 0]",left,0.441365
8,right,"[-0.25, 0]",right,0.411589
8,right,"[0.25, 0]",right,0.326964
8,left,"[-0.25, 0]",left,0.356778
8,right,"[0.25, 0]",left,0.390441
8,left,"[-0.25, 0]",left,0.40607
8,right,"[0.25, 0]",right,0.378541
8,left,"[0.25, 0]",left,0.347139
8,right,"[-0.25, 0]",right,0.395907
8,left,"[0.25, 0]",left,0.410667
8,right,"[-0.25, 0]",right,0.524428
8,left,"[0.25, 0]",left,0.377019
8,right,"[0.25, 0]",right,0.460571
8,left,"[0.25, 0]",left,0.529082
8,right,"[0.25, 0]",right,0.440726
8,left,"[-0.25, 0]",right,0.309636
8,left,"[-0.25, 0]",left,0.450104
8,left,"[0.25, 0]",left,0.472913
8,right,"[0.25, 0]",right,0.36364
8,right,"[-0.25, 0]",right,0.498069
8,left,"[0.25, 0]",left,0.559656
8,left,"[-0.25, 0]",left,0.412823
8,right,"[0.25, 0]",right,0.368764
8,right,"[0.25, 0]",left,0.370654
8,left,"[0.25, 0]",left,0.484727
8,left,"[0.25, 0]",left,0.38436
8,right,"[-0.25, 0]",right,0.426064
8,right,"[-0.25, 0]",right,0.48204
8,left,"[0.25, 0]",left,0.574428
8,left,"[-0.25, 0]",left,0.421121
8,right,"[-0.25, 0]",right,0.510778
8,left,"[-0.25, 0]",left,0.47942
8,left,"[-0.25, 0]",left,0.415525
8,left,"[-0.25, 0]",left,0.270613
8,left,"[0.25, 0]",left,0.453864
8,right,"[-0.25, 0]",right,0.433875
8,right,"[0.25, 0]",right,0.431622
8,left,"[0.25, 0]",left,0.564611
8,right,"[0.25, 0]",right,0.319768
8,left,"[-0.25, 0]",left,0.476105
8,left,"[0.25, 0]",left,0.612717
8,left,"[-0.25, 0]",left,0.431705
8,left,"[0.25, 0]",left,0.527332
8,right,"[0.25, 0]",right,0.428613
8,right,"[0.25, 0]",right,0.512508
8,right,"[0.25, 0]",right,0.464438
8,right,"[-0.25, 0]",right,0.486109
8,left,"[0.25, 0]",right,0.429236
8,left,"[0.25, 0]",left,0.654903
8,right,"[0.25, 0]",right,0.4268
8,right,"[-0.25, 0]",right,0.459401
8,right,"[0.25, 0]",right,0.460862
8,right,"[-0.25, 0]",left,0.449005
8,right,"[-0.25, 0]",right,0.434796
8,right,"[-0.25, 0]",right,0.510688
8,right,"[0.25, 0]",right,0.525265
8,right,"[-0.25, 0]",right,0.495406
8,left,"[-0.25, 0]",left,0.357502
8,left,"[-0.25, 0]",left,0.556814
8,right,"[-0.25, 0]",right,0.516519
8,left,"[-0.25, 0]",left,0.45808
8,right,"[-0.25, 0]",right,0.577019
8,left,"[-0.25, 0]",left,0.48533
8,left,"[-0.25, 0]",left,0.493417
8,left,"[0.25, 0]",left,0.447489
8,right,"[-0.25, 0]",right,0.537108
8,left,"[0.25, 0]",left,0.40154
8,right,"[-0.25, 0]",right,0.61951
8,right,"[0.25, 0]",right,0.341969
8,left,"[0.25, 0]",left,0.502865
8,right,"[-0.25, 0]",right,0.43341
8,right,"[0.25, 0]",right,0.366167
8,left,"[-0.25, 0]",left,0.440143
8,right,"[0.25, 0]",right,0.494764
8,left,"[-0.25, 0]",left,0.42281
8,right,"[0.25, 0]",left,0.574671
8,right,"[-0.25, 0]",right,0.546009
