ID,trial_type,stimulus,trial_resp.,trial_rt
8,go,green_circle,press,0.449452
8,go,green_circle,press,0.374776
8,go,green_circle,press,0.496538
8,go,green_circle,press,0.361432
8,nogo,red_circle,none,
8,go,green_circle,none,
8,nogo,red_circle,none,
8,go,green_circle,none,
8,go,green_circle,press,0.402653
8,go,green_circle,press,0.296259
8,nogo,red_circle,none,
8,nogo,red_circle,none,
8,nogo,red_circle,none,
8,nogo,red_circle,none,
8,go,green_circle,none,
8,go,green_circle,press,0.524893
8,go,green_circle,press,0.504287
8,go,green_circle,press,0.357681
8,go,green_circle,none,
8,nogo,red_circle,press,0.364476
8,nogo,red_circle,press,0.345918
8,go,green_circle,none,
8,go,green_circle,press,0.338955
8,go,green_circle,press,0.359094
8,go,green_circle,press,0.380525
8,go,green_circle,press,0.613116
8,go,green_circle,press,0.406388
8,go,green_circle,press,0.557023
8,go,green_circle,press,0.304471
8,go,green_circle,press,0.34074
8,go,green_circle,press,0.469362
8,go,green_circle,press,0.290516
8,go,green_circle,press,0.378025
8,go,green_circle,press,0.341198
8,go,green_circle,press,0.58311
8,go,green_circle,press,0.336886
8,go,green_circle,press,0.3868
8,nogo,red_circle,none,
8,go,green_circle,press,0.489754
8,go,green_circle,press,0.566881
8,go,green_circle,none,
8,go,green_circle,none,
8,go,green_circle,press,0.630975
8,go,green_circle,press,0.401824
8,nogo,red_circle,none,
8,go,green_circle,press,0.574459
8,go,green_circle,press,0.576304
8,go,green_circle,press,0.514975
8,go,green_circle,press,0.470396
8,go,green_circle,press,0.495991
8,nogo,red_circle,press,0.433166
8,go,green_circle,press,0.513794
8,go,green_circle,press,0.470447
8,nogo,red_circle,none,
8,go,green_circle,press,0.594356
8,go,green_circle,press,0.372681
8,go,green_circle,press,0.467751
8,go,green_circle,press,0.355496
8,go,green_circle,press,0.273451
8,go,green_circle,press,0.309549
8,go,green_circle,press,0.333779
8,go,green_circle,none,
8,go,green_circle,press,0.335541
8,go,green_circle,press,0.537482
8,nogo,red_circle,none,
8,nogo,red_circle,none,
8,nogo,red_circle,none,
8,go,green_circle,press,0.355286
8,go,green_circle,press,0.366071
8,go,green_circle,press,0.421616
8,go,green_circle,press,0.383792
8,go,green_circle,press,0.557449
8,nogo,red_circle,none,
8,go,green_circle,press,0.464415
8,go,green_circle,press,0.484277
8,go,green_circle,press,0.560261
8,nogo,red_circle,none,
8,nogo,red_circle,press,0.381009
8,go,green_circle,press,0.337641
8,go,green_circle,press,0.530414
8,go,green_circle,press,0.364655
8,nogo,red_circle,none,
8,go,green_circle,press,0.434233
8,nogo,red_circle,none,
8,go,green_circle,press,0.589352
8,go,green_circle,press,0.34193
8,go,green_circle,press,0.311131
8,go,green_circle,press,0.443866
8,go,green_circle,press,0.402563
8,go,green_circle,press,0.397352
8,go,green_circle,press,0.553044
8,go,green_circle,press,0.317516
8,go,green_circle,press,0.343156
8,go,green_circle,press,0.40212
8,go,green_circle,press,0.388644
8,go,green_circle,press,0.479267
8,go,green_circle,press,0.305008
8,go,green_circle,press,0.379949
8,nogo,red_circle,press,0.413766
8,go,green_circle,press,0.451984
