ID,trial_type,stimulus,trial_resp.,trial_rt
6,go,green_circle,press,0.445025
6,go,green_circle,press,0.478258
6,go,green_circle,press,0.231774
6,go,green_circle,press,0.527307
6,nogo,red_circle,press,0.56684
6,go,green_circle,press,0.445811
6,go,green_circle,press,0.398393
6,go,green_circle,press,0.55029
6,go,green_circle,press,0.415206
6,nogo,red_circle,none,
6,go,green_circle,press,0.616893
6,go,green_circle,press,0.650335
6,go,green_circle,press,0.436025
6,go,green_circle,press,0.574592
6,go,green_circle,press,0.379674
6,go,green_circle,press,0.346176
6,go,green_circle,press,0.454286
6,nogo,red_circle,none,
6,go,green_circle,press,0.274966
6,go,green_circle,press,0.271235
6,go,green_circle,press,0.593664
6,go,green_circle,press,0.406714
6,go,green_circle,press,0.366937
6,go,green_circle,press,0.629271
6,go,green_circle,press,0.444488
6,go,green_circle,press,0.387396
6,go,green_circle,press,0.371177
6,go,green_circle,press,0.391501
6,go,green_circle,press,0.35274
6,go,green_circle,press,0.449045
6,go,green_circle,press,0.401245
6,go,green_circle,press,0.371338
6,go,green_circle,press,0.454382
6,go,green_circle,press,0.362546
6,go,green_circle,press,0.474262
6,go,green_circle,press,0.30806
6,go,green_circle,press,0.49461
6,go,green_circle,press,0.478055
6,go,green_circle,press,0.354528
6,go,green_circle,press,0.369819
6,go,green_circle,press,0.325855
6,go,green_circle,press,0.643655
6,nogo,red_circle,press,0.358326
6,go,green_circle,press,0.354708
6,go,green_circle,press,0.429547
6,go,green_circle,press,0.30831
6,go,green_circle,press,0.368946
6,go,green_circle,press,0.466608
6,nogo,red_circle,press,0.338802
6,go,green_circle,press,0.437162
6,go,green_circle,press,0.421734
6,go,green_circle,press,0.351483
6,nogo,red_circle,none,
6,go,green_circle,none,
6,go,green_circle,press,0.507377
6,nogo,red_circle,none,
6,nogo,red_circle,press,0.340782
6,go,green_circle,press,0.591229
6,nogo,red_circle,none,
6,go,green_circle,press,0.229839
6,go,green_circle,press,0.399575
6,go,green_circle,press,0.382611
6,nogo,red_circle,none,
6,nogo,red_circle,press,0.294746
6,go,green_circle,press,0.379177
6,nogo,red_circle,none,
6,go,green_circle,press,0.55238
6,go,green_circle,press,0.311342
6,go,green_circle,press,0.468796
6,go,green_circle,press,0.396723
6,go,green_circle,press,0.427816
6,nogo,red_circle,none,
6,go,green_circle,press,0.394359
6,go,green_circle,press,0.570229
6,go,green_circle,press,0.331603
6,nogo,red_circle,none,
6,go,green_circle,press,0.417665
6,go,green_circle,press,0.455187
6,go,green_circle,press,0.460295
6,go,green_circle,press,0.323384
6,go,green_circle,none,
6,go,green_circle,press,0.306499
6,go,green_circle,press,0.323756
6,go,green_circle,press,0.381003
6,nogo,red_circle,none,
6,go,green_circle,press,0.398435
6,nogo,red_circle,none,
6,go,green_circle,press,0.418183
6,nogo,red_circle,none,
6,nogo,red_circle,press,0.324056
6,go,green_circle,press,0.3854
6,go,green_circle,press,0.344532
6,go,green_circle,press,0.474988
6,go,green_circle,press,0.318471
6,go,green_circle,press,0.321674
6,nogo,red_circle,none,
6,go,green_circle,press,0.473848
6,nogo,red_circle,press,0.457877
6,go,green_circle,press,0.35956
6,go,green_circle,press,0.379296
