ID,trial_type,stimulus,trial_resp.,trial_rt
2,go,green_circle,press,0.489514
2,nogo,red_circle,none,
2,go,green_circle,press,0.442173
2,go,green_circle,press,0.431056
2,go,green_circle,press,0.381532
2,go,green_circle,press,0.370077
2,go,green_circle,press,0.389349
2,nogo,red_circle,none,
2,go,green_circle,press,0.34447
2,go,green_circle,press,0.340379
2,go,green_circle,press,0.483993
2,go,green_circle,press,0.463912
2,go,green_circle,press,0.31856
2,go,green_circle,press,0.306866
2,nogo,red_circle,none,
2,go,green_circle,press,0.470126
2,go,green_circle,press,0.359516
2,go,green_circle,press,0.325702
2,go,green_circle,press,0.406815
2,nogo,red_circle,none,
2,go,green_circle,press,0.477101
2,nogo,red_circle,none,
2,go,green_circle,press,0.455407
2,go,green_circle,press,0.363994
2,nogo,red_circle,none,
2,go,green_circle,press,0.368683
2,go,green_circle,press,0.310706
2,go,green_circle,press,0.34745
2,go,green_circle,press,0.425293
2,nogo,red_circle,none,
2,nogo,red_circle,press,0.336504
2,go,green_circle,press,0.864007
2,go,green_circle,press,0.384435
2,go,green_circle,press,0.499707
2,go,green_circle,press,0.337807
2,go,green_circle,press,0.32682
2,go,green_circle,press,0.450882
2,go,green_circle,press,0.7246
2,nogo,red_circle,none,
2,go,green_circle,press,0.432275
2,nogo,red_circle,none,
2,go,green_circle,press,0.394352
2,go,green_circle,none,
2,go,green_circle,press,0.489293
2,go,green_circle,press,0.307071
2,nogo,red_circle,none,
2,go,green_circle,press,0.320344
2,go,green_circle,press,0.299277
2,go,green_circle,press,0.455397
2,nogo,red_circle,none,
2,go,green_circle,press,0.455815
2,go,green_circle,press,0.285566
2,go,green_circle,press,0.444665
2,nogo,red_circle,none,
2,go,green_circle,press,0.417123
2,go,green_circle,press,0.336462
2,go,green_circle,press,0.392318
2,go,green_circle,press,0.424598
2,go,green_circle,press,0.446215
2,go,green_circle,press,0.364731
2,nogo,red_circle,none,
2,go,green_circle,press,0.379427
2,go,green_circle,press,0.375788
2,nogo,red_circle,none,
2,nogo,red_circle,press,0.362869
2,go,green_circle,press,0.447777
2,go,green_circle,press,0.382514
2,go,green_circle,press,0.50863
2,go,green_circle,press,0.376174
2,go,green_circle,press,0.417407
2,go,green_circle,press,0.353133
2,nogo,red_circle,none,
2,go,green_circle,press,0.388073
2,go,green_circle,none,
2,nogo,red_circle,none,
2,go,green_circle,press,0.318542
2,go,green_circle,press,0.304976
2,nogo,red_circle,press,0.337432
2,go,green_circle,press,0.442548
2,go,green_circle,press,0.400262
2,go,green_circle,none,
2,go,green_circle,none,
2,go,green_circle,press,0.493847
2,go,green_circle,press,0.544732
2,go,green_circle,press,0.366161
2,go,green_circle,press,0.33613
2,go,green_circle,press,0.384718
2,nogo,red_circle,none,
2,go,green_circle,press,0.693386
2,go,green_circle,press,0.379056
2,nogo,red_circle,none,
2,go,green_circle,press,0.497016
2,go,green_circle,press,0.45553
2,go,green_circle,press,0.470641
2,go,green_circle,press,0.349516
2,go,green_circle,press,0.401315
2,go,green_circle,press,0.44733
2,nogo,red_circle,none,
2,nogo,red_circle,none,
2,go,green_circle,press,0.32295
