ID,trial_type,stimulus,trial_resp.,trial_rt
5,nogo,red_circle,none,
5,nogo,red_circle,none,
5,go,green_circle,press,0.369334
5,go,green_circle,press,0.669524
5,go,green_circle,press,0.361232
5,go,green_circle,press,0.354589
5,go,green_circle,press,0.39277
5,go,green_circle,press,0.446274
5,go,green_circle,press,0.3111
5,go,green_circle,press,0.53532
5,go,green_circle,press,0.434746
5,go,green_circle,press,0.754173
5,go,green_circle,press,0.446828
5,go,green_circle,press,0.454876
5,go,green_circle,none,
5,go,green_circle,press,0.388752
5,nogo,red_circle,none,
5,nogo,red_circle,press,0.517769
5,go,green_circle,press,0.380916
5,go,green_circle,press,0.36364
5,go,green_circle,press,0.45489
5,go,green_circle,press,0.382842
5,go,green_circle,press,0.365771
5,go,green_circle,press,0.457947
5,go,green_circle,press,0.526805
5,go,green_circle,press,0.492188
5,go,green_circle,press,0.339127
5,go,green_circle,press,0.459255
5,go,green_circle,press,0.498054
5,go,green_circle,press,0.436936
5,nogo,red_circle,none,
5,go,green_circle,press,0.298929
5,go,green_circle,none,
5,go,green_circle,press,0.448906
5,nogo,red_circle,none,
5,go,green_circle,press,0.42325
5,go,green_circle,press,0.382732
5,go,green_circle,press,0.440219
5,go,green_circle,press,0.429672
5,go,green_circle,press,0.448151
5,nogo,red_circle,none,
5,go,green_circle,press,0.425228
5,nogo,red_circle,press,0.359452
5,nogo,red_circle,none,
5,go,green_circle,press,0.420819
5,nogo,red_circle,press,0.269542
5,nogo,red_circle,press,0.339559
5,go,green_circle,press,0.382236
5,go,green_circle,press,0.416376
5,go,green_circle,press,0.443374
5,go,green_circle,press,0.605364
5,go,green_circle,press,0.611267
5,nogo,red_circle,press,0.344086
5,go,green_circle,press,0.461574
5,go,green_circle,press,0.500292
5,go,green_circle,press,0.362593
5,go,green_circle,press,0.41511
5,nogo,red_circle,none,
5,go,green_circle,press,0.492273
5,go,green_circle,press,0.71578
5,go,green_circle,press,0.535431
5,go,green_circle,press,0.527142
5,go,green_circle,press,0.484599
5,go,green_circle,press,0.404339
5,go,green_circle,press,0.605097
5,go,green_circle,press,0.369098
5,go,green_circle,press,0.865696
5,nogo,red_circle,none,
5,go,green_circle,press,0.391526
5,go,green_circle,press,0.489362
5,go,green_circle,press,0.394347
5,go,green_circle,none,
5,go,green_circle,press,0.372065
5,nogo,red_circle,none,
5,go,green_circle,press,0.413726
5,go,green_circle,press,0.328844
5,go,green_circle,press,0.350721
5,go,green_circle,press,0.661949
5,go,green_circle,press,0.443799
5,go,green_circle,press,0.588875
5,go,green_circle,press,0.434364
5,nogo,red_circle,none,
5,go,green_circle,press,0.372432
5,go,green_circle,press,0.393935
5,go,green_circle,press,0.442469
5,go,green_circle,press,0.442317
5,go,green_circle,press,0.393179
5,go,green_circle,press,0.596081
5,go,green_circle,press,0.308347
5,go,green_circle,press,0.47959
5,go,green_circle,press,0.519242
5,go,green_circle,press,0.406217
5,go,green_circle,none,
5,go,green_circle,press,0.439426
5,go,green_circle,press,0.404645
5,nogo,red_circle,none,
5,go,green_circle,press,0.422124
5,go,green_circle,none,
5,nogo,red_circle,none,
5,go,green_circle,press,0.415733
