ID,trial_type,stimulus,trial_resp.,trial_rt
1,go,green_circle,press,0.44531
1,nogo,red_circle,press,0.48693
1,go,green_circle,press,0.310444
1,go,green_circle,press,0.447991
1,go,green_circle,press,0.270569
1,go,green_circle,press,0.334332
1,go,green_circle,press,0.362977
1,nogo,red_circle,press,0.390842
1,nogo,red_circle,none,
1,go,green_circle,press,0.409145
1,go,green_circle,press,0.355932
1,nogo,red_circle,none,
1,go,green_circle,press,0.632416
1,go,green_circle,press,0.341731
1,go,green_circle,press,0.390061
1,nogo,red_circle,press,0.678818
1,go,green_circle,press,0.413432
1,go,green_circle,press,0.369813
1,nogo,red_circle,none,
1,nogo,red_circle,none,
1,go,green_circle,none,
1,go,green_circle,press,0.445767
1,go,green_circle,press,0.390397
1,nogo,red_circle,none,
1,nogo,red_circle,press,0.278019
1,go,green_circle,press,0.201453
1,go,green_circle,press,0.362564
1,nogo,red_circle,press,0.434724
1,go,green_circle,press,0.294753
1,go,green_circle,press,0.387807
1,go,green_circle,press,0.352128
1,go,green_circle,press,0.45108
1,go,green_circle,press,0.370999
1,nogo,red_circle,none,
1,nogo,red_circle,none,
1,go,green_circle,press,0.356752
1,go,green_circle,press,0.389868
1,go,green_circle,press,0.413015
1,go,green_circle,press,0.500436
1,go,green_circle,press,0.311632
1,go,green_circle,press,0.450379
1,go,green_circle,press,0.296704
1,go,green_circle,press,0.467224
1,go,green_circle,press,0.292463
1,go,green_circle,press,0.33685
1,go,green_circle,press,0.418323
1,nogo,red_circle,none,
1,go,green_circle,press,0.404524
1,go,green_circle,press,0.333602
1,go,green_circle,press,0.694205
1,go,green_circle,press,0.320718
1,go,green_circle,press,0.333102
1,go,green_circle,press,0.635203
1,go,green_circle,press,0.373941
1,go,green_circle,press,0.479202
1,go,green_circle,press,0.330352
1,nogo,red_circle,none,
1,go,green_circle,press,0.497297
1,go,green_circle,press,0.386379
1,go,green_circle,press,0.360194
1,nogo,red_circle,none,
1,go,green_circle,press,0.430541
1,go,green_circle,press,0.429666
1,go,green_circle,press,0.368532
1,go,green_circle,press,0.418238
1,go,green_circle,press,0.424588
1,nogo,red_circle,none,
1,go,green_circle,press,0.360646
1,go,green_circle,press,0.267997
1,go,green_circle,press,0.548715
1,nogo,red_circle,none,
1,go,green_circle,press,0.319109
1,go,green_circle,press,0.37238
1,go,green_circle,press,0.374839
1,go,green_circle,press,0.345271
1,nogo,red_circle,none,
1,go,green_circle,press,0.603281
1,go,green_circle,press,0.399962
1,go,green_circle,press,0.284256
1,go,green_circle,press,0.493659
1,go,green_circle,press,0.342149
1,go,green_circle,press,0.332552
1,go,green_circle,press,0.341943
1,go,green_circle,press,0.329886
1,go,green_circle,press,0.389654
1,go,green_circle,press,0.298326
1,go,green_circle,press,0.426151
1,go,green_circle,press,0.355966
1,nogo,red_circle,none,
1,go,green_circle,press,0.577136
1,go,green_circle,press,0.350289
1,nogo,red_circle,none,
1,go,green_circle,none,
1,nogo,red_circle,none,
1,go,green_circle,press,0.395237
1,go,green_circle,press,0.332705
1,nogo,red_circle,none,
1,go,green_circle,press,0.347961
1,go,green_circle,press,0.428096
1,go,green_circle,press,0.439958
