ID,trial_type,stimulus,trial_resp.,trial_rt
3,nogo,red_circle,none,
3,go,green_circle,press,0.363004
3,go,green_circle,press,0.602068
3,go,green_circle,press,0.32892
3,nogo,red_circle,press,0.239837
3,nogo,red_circle,none,
3,go,green_circle,press,0.381797
3,go,green_circle,press,0.331241
3,go,green_circle,press,0.292894
3,nogo,red_circle,none,
3,go,green_circle,press,0.460742
3,go,green_circle,press,0.350469
3,go,green_circle,press,0.386888
3,go,green_circle,press,0.33381
3,go,green_circle,press,0.40598
3,nogo,red_circle,none,
3,go,green_circle,press,0.347192
3,go,green_circle,press,0.374503
3,go,green_circle,press,0.502809
3,nogo,red_circle,none,
3,go,green_circle,press,0.493704
3,go,green_circle,press,0.51191
3,go,green_circle,press,0.332173
3,nogo,red_circle,none,
3,go,green_circle,press,0.356721
3,go,green_circle,press,0.495985
3,go,green_circle,press,0.352924
3,go,green_circle,press,0.365094
3,go,green_circle,press,0.421562
3,go,green_circle,press,0.586095
3,go,green_circle,press,0.389144
3,go,green_circle,press,0.533307
3,go,green_circle,press,0.305912
3,go,green_circle,press,0.434769
3,go,green_circle,press,0.411301
3,go,green_circle,press,0.274973
3,nogo,red_circle,none,
3,nogo,red_circle,none,
3,go,green_circle,press,0.317931
3,nogo,red_circle,none,
3,nogo,red_circle,none,
3,go,green_circle,press,0.355655
3,nogo,red_circle,press,0.454511
3,go,green_circle,press,0.290915
3,go,green_circle,press,0.293011
3,go,green_circle,press,0.298781
3,go,green_circle,press,0.383054
3,go,green_circle,press,0.410474
3,go,green_circle,press,0.325901
3,go,green_circle,press,0.323611
3,go,green_circle,press,0.313648
3,go,green_circle,press,0.464513
3,go,green_circle,none,
3,go,green_circle,press,0.336374
3,go,green_circle,press,0.337075
3,go,green_circle,press,0.310312
3,go,green_circle,press,0.349594
3,go,green_circle,press,0.623018
3,go,green_circle,press,0.40329
3,nogo,red_circle,none,
3,go,green_circle,press,0.309054
3,go,green_circle,press,0.291837
3,go,green_circle,press,0.406459
3,go,green_circle,press,0.308569
3,go,green_circle,press,0.369757
3,nogo,red_circle,press,0.330526
3,go,green_circle,press,0.351282
3,go,green_circle,none,
3,go,green_circle,press,0.366187
3,go,green_circle,press,0.407868
3,nogo,red_circle,none,
3,nogo,red_circle,none,
3,go,green_circle,press,0.326178
3,go,green_circle,press,0.314152
3,go,green_circle,press,0.485265
3,go,green_circle,press,0.39684
3,go,green_circle,press,0.375277
3,go,green_circle,press,0.38261
3,go,green_circle,press,0.43235
3,go,green_circle,press,0.355285
3,go,green_circle,press,0.336612
3,go,green_circle,press,0.561418
3,go,green_circle,press,0.320659
3,nogo,red_circle,none,
3,nogo,red_circle,none,
3,nogo,red_circle,none,
3,go,green_circle,press,0.305345
3,go,green_circle,press,0.352749
3,go,green_circle,press,0.48004
3,go,green_circle,press,0.410276
3,go,green_circle,press,0.522672
3,go,green_circle,press,0.713362
3,go,green_circle,press,0.397093
3,nogo,red_circle,press,0.303895
3,go,green_circle,press,0.337388
3,nogo,red_circle,none,
3,go,green_circle,press,0.306284
3,go,green_circle,press,0.414435
3,nogo,red_circle,none,
3,go,green_circle,press,0.311058
