ID,trial_type,stimulus,trial_resp.,trial_rt
10,go,green_circle,press,0.239811
10,go,green_circle,press,0.213282
10,go,green_circle,press,0.282854
10,go,green_circle,press,0.211192
10,nogo,red_circle,press,0.209639
10,go,green_circle,press,0.233486
10,go,green_circle,press,0.238523
10,go,green_circle,press,0.236644
10,go,green_circle,press,0.252898
10,go,green_circle,press,0.246578
10,go,green_circle,press,0.246766
10,nogo,red_circle,press,0.205473
10,go,green_circle,press,0.261634
10,go,green_circle,press,0.22911
10,nogo,red_circle,none,
10,go,green_circle,press,0.250083
10,go,green_circle,press,0.187827
10,nogo,red_circle,press,0.23706
10,nogo,red_circle,press,0.191417
10,go,green_circle,press,0.227732
10,go,green_circle,press,0.273748
10,go,green_circle,press,0.233114
10,go,green_circle,press,0.202773
10,go,green_circle,press,0.247978
10,go,green_circle,press,0.265343
10,nogo,red_circle,press,0.189706
10,nogo,red_circle,none,
10,go,green_circle,press,0.294135
10,go,green_circle,press,0.234348
10,go,green_circle,press,0.25151
10,go,green_circle,press,0.219306
10,go,green_circle,press,0.302045
10,go,green_circle,press,0.234674
10,go,green_circle,press,0.192809
10,nogo,red_circle,press,0.207678
10,go,green_circle,press,0.234621
10,go,green_circle,press,0.237253
10,go,green_circle,press,0.222181
10,go,green_circle,press,0.228879
10,nogo,red_circle,none,
10,go,green_circle,press,0.213811
10,go,green_circle,press,0.210048
10,go,green_circle,press,0.210911
10,go,green_circle,press,0.269002
10,go,green_circle,press,0.223562
10,nogo,red_circle,press,0.19223
10,go,green_circle,press,0.272093
10,go,green_circle,press,0.238103
10,nogo,red_circle,press,0.202117
10,go,green_circle,press,0.301189
10,go,green_circle,press,0.251529
10,go,green_circle,press,0.213568
10,go,green_circle,press,0.238599
10,go,green_circle,press,0.265277
10,nogo,red_circle,press,0.189596
10,go,green_circle,press,0.257378
10,go,green_circle,press,0.242295
10,go,green_circle,press,0.221566
10,go,green_circle,press,0.214399
10,go,green_circle,press,0.218949
10,nogo,red_circle,press,0.210044
10,go,green_circle,press,0.210434
10,go,green_circle,none,
10,go,green_circle,press,0.228144
10,go,green_circle,press,0.24087
10,go,green_circle,press,0.249445
10,go,green_circle,none,
10,go,green_circle,press,0.247512
10,go,green_circle,press,0.237944
10,go,green_circle,press,0.223995
10,go,green_circle,press,0.221311
10,nogo,red_circle,press,0.288805
10,go,green_circle,press,0.209821
10,go,green_circle,press,0.246405
10,go,green_circle,press,0.218889
10,nogo,red_circle,none,
10,go,green_circle,press,0.241463
10,go,green_circle,press,0.213882
10,go,green_circle,press,0.259414
10,go,green_circle,press,0.236126
10,nogo,red_circle,press,0.15213
10,nogo,red_circle,press,0.213269
10,go,green_circle,press,0.247652
10,nogo,red_circle,press,0.218936
10,go,green_circle,press,0.224215
10,go,green_circle,press,0.277618
10,nogo,red_circle,press,0.236633
10,nogo,red_circle,press,0.196383
10,go,green_circle,press,0.238863
10,go,green_circle,press,0.199293
10,go,green_circle,press,0.229031
10,go,green_circle,press,0.230765
10,go,green_circle,press,0.245978
10,go,green_circle,press,0.191569
10,nogo,red_circle,press,0.233269
10,go,green_circle,press,0.224043
10,go,green_circle,press,0.25079
10,nogo,red_circle,press,0.176374
10,go,green_circle,press,0.243311
10,go,green_circle,press,0.214187
