ID,trial_type,stimulus,trial_resp.,trial_rt
4,nogo,red_circle,none,
4,go,green_circle,press,0.374496
4,go,green_circle,press,0.420628
4,go,green_circle,press,0.468707
4,go,green_circle,press,0.310674
4,go,green_circle,press,0.292516
4,go,green_circle,press,0.323877
4,go,green_circle,press,0.323687
4,nogo,red_circle,none,
4,go,green_circle,press,0.459222
4,nogo,red_circle,none,
4,go,green_circle,press,0.338287
4,go,green_circle,press,0.401376
4,go,green_circle,press,0.506448
4,go,green_circle,press,0.434355
4,go,green_circle,press,0.490908
4,nogo,red_circle,none,
4,go,green_circle,press,0.310774
4,go,green_circle,press,0.413553
4,go,green_circle,press,0.345004
4,go,green_circle,press,0.327799
4,go,green_circle,press,0.287601
4,nogo,red_circle,none,
4,go,green_circle,press,0.29864
4,go,green_circle,none,
4,go,green_circle,press,0.47073
4,go,green_circle,press,0.33729
4,go,green_circle,press,0.349713
4,nogo,red_circle,none,
4,go,green_circle,press,0.428977
4,go,green_circle,press,0.434993
4,go,green_circle,press,0.474547
4,go,green_circle,press,0.310741
4,go,green_circle,press,0.388189
4,go,green_circle,press,0.329825
4,go,green_circle,press,0.495702
4,nogo,red_circle,none,
4,go,green_circle,none,
4,go,green_circle,press,0.352374
4,go,green_circle,press,0.337345
4,go,green_circle,press,0.360026
4,go,green_circle,press,0.366714
4,go,green_circle,press,0.396346
4,go,green_circle,press,0.50963
4,go,green_circle,press,0.324103
4,go,green_circle,press,0.363223
4,go,green_circle,press,0.379128
4,go,green_circle,press,0.300561
4,go,green_circle,press,0.395441
4,go,green_circle,press,0.448308
4,go,green_circle,press,0.301196
4,go,green_circle,press,0.427809
4,go,green_circle,press,0.293821
4,go,green_circle,press,0.273651
4,go,green_circle,press,0.503402
4,go,green_circle,press,0.327633
4,go,green_circle,press,0.326587
4,nogo,red_circle,press,0.393769
4,go,green_circle,press,0.373198
4,go,green_circle,press,0.299949
4,go,green_circle,press,0.306997
4,go,green_circle,press,0.53096
4,go,green_circle,press,0.285504
4,go,green_circle,press,0.548937
4,nogo,red_circle,none,
4,go,green_circle,press,0.380138
4,go,green_circle,none,
4,nogo,red_circle,none,
4,go,green_circle,press,0.479347
4,go,green_circle,press,0.344595
4,go,green_circle,none,
4,go,green_circle,press,0.366
4,go,green_circle,press,0.392571
4,go,green_circle,none,
4,go,green_circle,press,0.395232
4,nogo,red_circle,none,
4,nogo,red_circle,none,
4,go,green_circle,press,0.331462
4,go,green_circle,press,0.478498
4,go,green_circle,press,0.404278
4,go,green_circle,press,0.337449
4,go,green_circle,press,0.522346
4,go,green_circle,press,0.379825
4,nogo,red_circle,none,
4,go,green_circle,press,0.340448
4,nogo,red_circle,none,
4,nogo,red_circle,none,
4,go,green_circle,press,0.318736
4,go,green_circle,press,0.462437
4,go,green_circle,press,0.428794
4,go,green_circle,none,
4,go,green_circle,press,0.330229
4,go,green_circle,press,0.333477
4,go,green_circle,press,0.476592
4,nogo,red_circle,none,
4,go,green_circle,press,0.341819
4,go,green_circle,press,0.383457
4,go,green_circle,none,
4,go,green_circle,press,0.315425
4,nogo,red_circle,none,
